"band","event_date","species_name","age_description","sex_description"
"B07573980707","5/1/06","Bell's Vireo","After Hatching Year","Unknown"
"B07573980948","4/29/06","Least Flycatcher","After Hatching Year","Unknown"
"B07573988079","5/9/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07573989037","5/5/06","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07583009015","3/20/08","White-eyed Vireo","Second Year","Unknown"
"B07583010065","5/20/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010078","5/20/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010127","5/20/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010148","5/20/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010223","5/19/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583010288","5/20/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583010300","5/19/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010363","5/19/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010381","5/19/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010460","5/19/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583010547","5/18/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010600","5/22/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583010625","5/21/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583010708","5/21/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583010765","5/21/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010848","5/21/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583010860","5/21/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583010923","5/21/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583010941","5/20/07","Western Wood-Pewee","After Hatching Year","Unknown"
"B07583011000","5/15/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011081","5/15/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011161","5/15/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011247","5/14/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011483","5/14/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011560","5/14/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011641","5/17/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583011721","5/16/07","Philadelphia Vireo","After Hatching Year","Unknown"
"B07583011807","5/16/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011885","5/16/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583011968","5/16/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012043","5/11/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012072","5/11/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012120","5/11/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012201","5/11/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012282","5/11/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583012367","5/11/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012445","5/10/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012528","5/10/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583012842","5/12/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583013030","5/5/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583013088","5/5/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583013240","5/4/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583013403","5/2/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583013487","5/2/07","Least Flycatcher","After Hatching Year","Unknown"
"B07583013565","5/2/07","Least Flycatcher","After Hatching Year","Male"
"B07583013648","5/10/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583013723","5/10/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583013800","5/9/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583013963","5/9/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019038","5/23/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019087","5/23/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583019165","5/22/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583019248","5/22/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019323","5/22/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019400","5/22/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019481","5/22/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019569","5/22/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019647","5/23/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019725","5/23/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019808","5/23/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019883","5/23/07","Unidentified Empidonax","After Hatching Year","Unknown"
"B07583019960","5/23/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07583060070","11/4/08","Eastern Wood-Pewee","Hatching Year","Unknown"
"B07583060128","10/20/08","Eastern Wood-Pewee","Unknown","Unknown"
"B07583060226","10/15/08","Eastern Wood-Pewee","Hatching Year","Unknown"
"B07583060527","10/9/08","Eastern Wood-Pewee","Hatching Year","Unknown"
"B07583060947","11/5/08","Eastern Wood-Pewee","Hatching Year","Unknown"
"B07583061647","10/9/08","Acadian Flycatcher","Hatching Year","Unknown"
"B07583061725","10/7/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07583061808","10/3/08","Acadian Flycatcher","Hatching Year","Unknown"
"B07583061883","10/3/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07583061960","9/24/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07583068043","10/21/10","Acadian Flycatcher","After Hatching Year","Unknown"
"B07583068078","10/23/10","Traill's Flycatcher","Unknown","Unknown"
"B07583068120","10/20/10","Acadian Flycatcher","Unknown","Unknown"
"B07583068367","4/27/10","Traill's Flycatcher","Second Year","Unknown"
"B07583068528","11/27/08","Acadian Flycatcher","Unknown","Unknown"
"B07583068848","11/6/10","Yellow-bellied Flycatcher","Unknown","Unknown"
"B07583068927","10/25/10","Traill's Flycatcher","After Hatching Year","Unknown"
"B09083027408","8/15/82","Stolid Flycatcher","After Hatching Year","Unknown"
"B09083137219","2/5/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B09083137290","2/5/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B09083137378","2/5/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B09083137453","2/4/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B09083137531","2/4/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634201651","1/29/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634202072","2/3/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634202612","2/3/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634202690","2/3/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634202936","2/3/84","Caribbean Elaenia","After Hatching Year","Unknown"
"B08634700460","1/24/97","Rose-throated Becard","Second Year","Male"
"B09083426096","11/11/85","Yellow-throated Vireo","Unknown","Unknown"
"B09083426179","5/18/85","Red-eyed Vireo","After Hatching Year","Unknown"
"B09084072094","1/13/86","Great Crested Flycatcher","After Hatching Year","Unknown"
"B07593073563","3/5/09","Northern Beardless-Tyrannulet","After Hatching Year","Unknown"
"B07593074123","3/6/08","Northern Beardless-Tyrannulet","After Hatching Year","Unknown"
"B07603327462","9/9/12","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603366023","12/5/04","White-eyed Vireo","After Hatching Year","Unknown"
"B08643303653","1/11/74","Least Flycatcher","After Hatching Year","Unknown"
"B08643306934","9/1/74","Least Flycatcher","Hatching Year","Unknown"
"B08643310383","3/9/75","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B08643313033","10/14/74","Least Flycatcher","Hatching Year","Unknown"
"B08643315038","9/10/74","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B08643319036","4/23/75","Acadian Flycatcher","After Hatching Year","Unknown"
"B07603701033","9/22/05","Red-eyed Vireo","After Hatching Year","Unknown"
"B07603701061","9/24/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603701497","5/13/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603701621","10/2/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603701786","9/29/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603701817","9/27/05","Red-eyed Vireo","Hatching Year","Unknown"
"B07603701943","9/24/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603701971","9/24/05","Red-eyed Vireo","Hatching Year","Unknown"
"B07603702027","10/15/08","Traill's Flycatcher","Unknown","Unknown"
"B07603702057","10/15/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702070","10/15/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702100","10/15/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702136","10/15/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702182","10/15/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702210","10/15/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702267","10/15/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702293","10/15/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702346","10/13/08","Acadian Flycatcher","After Hatching Year","Unknown"
"B07603702377","10/13/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702503","10/11/08","Acadian Flycatcher","After Hatching Year","Unknown"
"B07603702532","10/11/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702587","10/11/08","Acadian Flycatcher","Unknown","Unknown"
"B07603702617","11/13/08","Acadian Flycatcher","Unknown","Unknown"
"B07603702660","11/25/08","Acadian Flycatcher","Unknown","Unknown"
"B07603702696","11/15/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702742","11/3/08","Acadian Flycatcher","Hatching Year","Unknown"
"B07603702770","11/4/08","Traill's Flycatcher","Unknown","Unknown"
"B07603702827","10/27/08","Traill's Flycatcher","Hatching Year","Unknown"
"B07603702853","10/20/08","Acadian Flycatcher","Unknown","Unknown"
"B07603702906","10/20/08","Acadian Flycatcher","Unknown","Unknown"
"B07603702937","10/17/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603702980","10/20/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603703093","9/28/06","Red-eyed Vireo","Hatching Year","Unknown"
"B07603703890","10/10/06","Red-eyed Vireo","Hatching Year","Unknown"
"B07603760026","10/23/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603760066","10/23/06","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760070","10/23/06","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07603760140","10/18/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760183","10/20/06","Traill's Flycatcher","Hatching Year","Unknown"
"B07603760227","10/13/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760267","10/13/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760306","10/13/05","Traill's Flycatcher","Hatching Year","Unknown"
"B07603760346","10/13/05","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07603760380","10/13/05","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07603760420","10/11/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760463","10/11/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760507","10/11/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603760547","10/11/05","Traill's Flycatcher","Hatching Year","Unknown"
"B07603760586","10/11/05","Traill's Flycatcher","Hatching Year","Unknown"
"B07603760906","10/30/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603760940","10/25/06","Traill's Flycatcher","Hatching Year","Unknown"
"B07603760980","11/2/06","Acadian Flycatcher","After Hatching Year","Unknown"
"B07603761037","10/3/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603761067","10/10/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07603761146","9/23/05","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603761220","5/3/05","Traill's Flycatcher","Second Year","Unknown"
"B07603761303","11/10/04","Traill's Flycatcher","Unknown","Unknown"
"B07603761387","11/11/04","Traill's Flycatcher","Unknown","Unknown"
"B07603761466","10/26/04","Traill's Flycatcher","Unknown","Unknown"
"B07603761706","10/10/06","Traill's Flycatcher","Hatching Year","Unknown"
"B07603761780","10/12/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603761863","10/5/06","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603761947","10/12/05","Traill's Flycatcher","Hatching Year","Unknown"
"B07603762340","3/9/05","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603762507","10/28/04","Eastern Wood-Pewee","Unknown","Unknown"
"B07603763036","10/4/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603763067","10/5/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603763460","9/24/04","Traill's Flycatcher","Hatching Year","Unknown"
"B07603763543","9/22/04","Traill's Flycatcher","Unknown","Unknown"
"B07603763627","10/18/04","Traill's Flycatcher","Unknown","Unknown"
"B07603763706","10/11/04","Traill's Flycatcher","Hatching Year","Unknown"
"B07603763783","10/14/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603763946","10/7/04","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603764077","4/27/04","Traill's Flycatcher","After Second Year","Unknown"
"B07603764103","4/23/04","Eastern Wood-Pewee","After Second Year","Unknown"
"B07603764266","4/20/04","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07603764344","4/1/04","Acadian Flycatcher","After Hatching Year","Unknown"
"B07603764663","9/13/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603764747","9/13/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B07603765140","4/12/04","Acadian Flycatcher","After Second Year","Unknown"
"B07603765547","10/29/03","Red-eyed Vireo","Hatching Year","Unknown"
"B07603769039","3/31/05","Eastern Wood-Pewee","Second Year","Unknown"
"B07603769143","11/26/04","Red-eyed Vireo","Hatching Year","Unknown"
"B07603769467","10/16/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B07603769866","4/23/05","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B09084406694","11/5/89","Loggerhead Kingbird","Unknown","Unknown"
"B09084406774","2/28/89","Loggerhead Kingbird","After Hatching Year","Unknown"
"B09084406810","2/24/89","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B07604172107","6/7/09","Black-whiskered Vireo","After Hatching Year","Female"
"B07604172186","6/7/09","Black-whiskered Vireo","After Hatching Year","Female"
"B07604172260","6/7/09","Black-whiskered Vireo","After Hatching Year","Male"
"B07604175035","5/13/09","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07604175060","5/14/09","Black-whiskered Vireo","After Hatching Year","Male"
"B07604175144","5/5/09","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07604175221","3/25/09","Black-whiskered Vireo","After Hatching Year","Unknown"
"B07604175620","6/6/09","Black-whiskered Vireo","After Hatching Year","Male"
"B07604175704","6/3/09","Black-whiskered Vireo","After Hatching Year","Female"
"B07604175781","6/3/09","Black-whiskered Vireo","After Hatching Year","Female"
"B07604175867","5/28/09","Black-whiskered Vireo","After Hatching Year","Male"
